Disease1	Disease2	weight	comorbid	colors	pathway
A90	Q98	0.396563891906001	no	#4A74A9	Cell Cycle
A90	R65	0.275963672720852	no	#4A74A9	Cell Cycle
B17	B44	-0.247297092499945	no	#B64539	Cell Cycle
B17	C84	0.174345960376949	no	#4A74A9	Cell Cycle
B17	D72	0.147076001238059	no	#4A74A9	Cell Cycle
B17	E11	0.260282250144775	no	#4A74A9	Cell Cycle
B17	F17	0.280705394471718	yes	#4A74A9	Cell Cycle
B17	F20	0.168194277525778	no	#4A74A9	Cell Cycle
B17	G10	0.334244557027888	no	#4A74A9	Cell Cycle
B17	G20	0.197307888639659	no	#4A74A9	Cell Cycle
B17	G30	0.247346412727483	no	#4A74A9	Cell Cycle
B17	G35	0.214107224926639	no	#4A74A9	Cell Cycle
B17	I21	-0.251286202936362	no	#B64539	Cell Cycle
B17	I48	0.188830914839513	no	#4A74A9	Cell Cycle
B17	K50	-0.189012492450486	no	#B64539	Cell Cycle
B17	L70	-0.153548034707539	no	#B64539	Cell Cycle
B17	L82	0.221807000700847	no	#4A74A9	Cell Cycle
B19	B44	0.282898491008081	no	#4A74A9	Cell Cycle
B19	C14	0.330102893745817	no	#4A74A9	Cell Cycle
B19	C73	0.340009010259303	no	#4A74A9	Cell Cycle
B19	C82	-0.208927583107077	no	#B64539	Cell Cycle
B19	C84	0.273465644694964	no	#4A74A9	Cell Cycle
B19	D45	0.257824625756564	no	#4A74A9	Cell Cycle
B19	D47	0.354434300055309	no	#4A74A9	Cell Cycle
B19	D75	0.22099897883751	no	#4A74A9	Cell Cycle
B19	D86	0.195075044852282	no	#4A74A9	Cell Cycle
B19	G71	0.261130458364438	no	#4A74A9	Cell Cycle
B19	J32	0.249651714436106	no	#4A74A9	Cell Cycle
B19	J84	0.241978686741322	no	#4A74A9	Cell Cycle
B19	K13	0.383511717914501	no	#4A74A9	Cell Cycle
B19	K50	0.307515476398247	no	#4A74A9	Cell Cycle
B19	K51	0.224744508740827	no	#4A74A9	Cell Cycle
B19	K58	0.252074357311358	no	#4A74A9	Cell Cycle
B19	L70	0.360193851875516	no	#4A74A9	Cell Cycle
B19	L82	-0.23040243952486	no	#B64539	Cell Cycle
B19	M47	0.165791728660268	no	#4A74A9	Cell Cycle
B19	Q98	0.190633208429753	no	#4A74A9	Cell Cycle
B19	R65	0.21614780008813	no	#4A74A9	Cell Cycle
B44	C84	-0.22289516191364	no	#B64539	Cell Cycle
B44	D86	0.178418758944985	no	#4A74A9	Cell Cycle
B44	F33	-0.13389813473074	no	#B64539	Cell Cycle
B44	G10	-0.445477383055164	no	#B64539	Cell Cycle
B44	G12	0.428835344885916	no	#4A74A9	Cell Cycle
B44	G35	-0.381597011028373	no	#B64539	Cell Cycle
B44	I21	0.256945342782594	no	#4A74A9	Cell Cycle
B44	I48	-0.280403520176903	no	#B64539	Cell Cycle
B44	I73	-0.183381517744259	no	#B64539	Cell Cycle
B44	J32	0.17632071859537	no	#4A74A9	Cell Cycle
B44	J45	-0.209792207671508	no	#B64539	Cell Cycle
B44	J84	0.194884797015193	yes	#4A74A9	Cell Cycle
B44	L82	-0.440702519235882	no	#B64539	Cell Cycle
B44	N19	0.207762442681478	no	#4A74A9	Cell Cycle
C11	C14	0.294905336095715	yes	#4A74A9	Cell Cycle
C11	C15	0.646001046715815	no	#4A74A9	Cell Cycle
C11	C16	0.425625244656583	no	#4A74A9	Cell Cycle
C11	C18	0.675802916231845	no	#4A74A9	Cell Cycle
C11	C22	0.588771265854738	no	#4A74A9	Cell Cycle
C11	C25	0.257381497273744	no	#4A74A9	Cell Cycle
C11	C34	0.800026114604306	no	#4A74A9	Cell Cycle
C11	C38	0.583513266455982	no	#4A74A9	Cell Cycle
C11	C49	0.447147493946832	no	#4A74A9	Cell Cycle
